fit-54.3	america		exist-47.1-1	Synset('fear.n.01')
Synset('time_period.n.01')	near		appear-48.1.1	Synset('municipality.n.01')
amuse-31.1	Synset('unit.n.03')		murder-42.1-1	Synset('thief.n.01')
appear-48.1.1	Synset('framework.n.03')		Synset('evidence.n.02')	Synset('measure.n.02')
bring-11.3	Synset('income.n.01')		Synset('value.n.02')	Synset('precious_metal.n.01')
other_cos-45.4	Synset('negative_stimulus.n.01')		Synset('value.n.02')	Synset('cereal.n.01')
exist-47.1-1	Synset('evaluation.n.02')		Synset('indefinite_quantity.n.01')	send-11.1
Synset('military_action.n.01')	battle-36.4-1		admire-31.2	Synset('municipality.n.01')
appear-48.1.1	Synset('meeting.n.01')		appear-48.1.1	iraq
stop-55.4-1	Synset('framework.n.03')		calibratable_cos-45.6-1	dow
Synset('activity.n.01')	Synset('capitalist.n.02')		amuse-31.1	Synset('value.n.02')
other_cos-45.4	Synset('commerce.n.01')		Synset('value.n.02')	correspond-36.1
fill-9.8	Synset('attempt.n.01')		Synset('military_action.n.01')	Synset('fear.n.01')
Synset('collection.n.01')	Synset('economic_process.n.01')		Synset('activity.n.01')	Synset('gathering.n.01')
appear-48.1.1	Synset('situation.n.03')		Synset('idea.n.01')	clinton
appear-48.1.1	Synset('income.n.01')		calibratable_cos-45.6-1	Synset('assets.n.01')
Synset('value.n.02')	Synset('scale.n.01')		Synset('attraction.n.01')	Synset('flow.n.01')
begin-55.1-1	Synset('component.n.01')		Synset('idea.n.01')	Synset('legislature.n.01')
calibratable_cos-45.6-1	Synset('sum.n.01')		wish-62	Synset('share.n.01')
calibratable_cos-45.6-1	Synset('monetary_unit.n.01')		Synset('framework.n.03')	Synset('attraction.n.01')
begin-55.1-1	Synset('choice.n.02')		murder-42.1-1	india
Synset('leader.n.01')	complete-55.2		confine-92-1	Synset('communication.n.02')
Synset('idea.n.01')	linger-53.1-1		consume-66	Synset('point.n.06')
bring-11.3	Synset('way.n.06')		Synset('content.n.05')	Synset('condition.n.01')
convert-26.6.2	Synset('transaction.n.01')		Synset('happening.n.01')	ferret-35.6
other_cos-45.4	Synset('season.n.02')		indicate-78-1	Synset('federal_government.n.01')
Synset('danger.n.03')	masquerade-29.6-2		Synset('tax.n.01')	Synset('agent.n.05')
stop-55.4-1	Synset('succession.n.02')		s	Synset('gathering.n.01')
Synset('value.n.02')	Synset('lipid.n.01')		calibratable_cos-45.6-1	Synset('scale.n.01')
Synset('merchant.n.01')	Synset('agent.n.05')		Synset('value.n.02')	send-11.1-1
entity_specific_modes_being-47.2	Synset('conflict.n.01')		appear-48.1.1	Synset('slav.n.01')
Synset('happening.n.01')	Synset('unit.n.03')		near	Synset('commerce.n.01')
stop-55.4-1	Synset('plate_glass.n.01')		Synset('large_indefinite_quantity.n.01')	ewing
await	Synset('capitalist.n.02')		Synset('attraction.n.01')	send-11.1-1
Synset('value.n.02')	Synset('attraction.n.01')		stop-55.4-1	Synset('funds.n.01')
Synset('asian.n.01')	investigate-35.4		murder-42.1-1	Synset('murderer.n.01')
appear-48.1.1	Synset('information.n.01')		Synset('municipality.n.01')	complete-55.2
Synset('merchant.n.01')	Synset('agent.n.05')		calibratable_cos-45.6-1	Synset('value.n.02')
Synset('force.n.04')	Synset('male.n.02')		appear-48.1.1	Synset('emotion.n.01')
Synset('traveler.n.01')	Synset('railway.n.01')		Synset('partition.n.01')	st.
continue-55.3	Synset('measure.n.02')		dow	send-11.1-1
other_cos-45.4	Synset('economic_process.n.01')		appear-48.1.1	Synset('system.n.02')
Synset('time_period.n.01')	Synset('leisure.n.01')		appear-48.1.1	Synset('income.n.01')
escape-51.1-1	new_york		Synset('person.n.01')	Synset('structure.n.01')
amuse-31.1	Synset('activity.n.01')		calibratable_cos-45.6-1	Synset('american.n.01')
Synset('extremity.n.04')	Synset('race.n.01')		Synset('municipality.n.01')	have
appear-48.1.1	Synset('legislature.n.01')		amuse-31.1	Synset('document.n.01')
Synset('time_period.n.01')	stop-55.4-1		dow	Synset('small_indefinite_quantity.n.01')
Synset('merchant.n.01')	Synset('evaluation.n.02')		Synset('monetary_unit.n.01')	modes_of_being_with_motion-47.3
escape-51.1-2	Synset('property.n.02')		Synset('activity.n.01')	characterize-29.2-1
Synset('activity.n.01')	modes_of_being_with_motion-47.3		amuse-31.1	Synset('assets.n.01')
Synset('emotion.n.01')	ebb		appear-48.1.1	Synset('value.n.02')
amuse-31.1	Synset('situation.n.03')		calibratable_cos-45.6-1	dow
continue-55.3	Synset('conflict.n.01')		escape-51.1-1	Synset('inhabitant.n.01')
other_cos-45.4	Synset('contest.n.01')		calibratable_cos-45.6-1	Synset('reply.n.02')
appear-48.1.1	Synset('time_period.n.01')		Synset('activity.n.01')	Synset('woody_plant.n.01')
begin-55.1-1	Synset('discussion.n.02')		characterize-29.2-1	Synset('share.n.01')
appear-48.1.1	Synset('commodity.n.01')		calibratable_cos-45.6-1	Synset('gregorian_calendar_month.n.01')
calibratable_cos-45.6-1	Synset('income.n.01')		other_cos-45.4	Synset('asian.n.01')
appear-48.1.1	Synset('transaction.n.01')		other_cos-45.4	knicks
ferret-35.6	Synset('condition.n.01')		Synset('precious_metal.n.01')	Synset('conductor.n.02')
appear-48.1.1	Synset('military_action.n.01')		appear-48.1.1	Synset('value.n.02')
amuse-31.1	Synset('politician.n.02')		Synset('military_action.n.01')	iraq
neglect-75-1-1	Synset('transaction.n.01')		other_cos-45.4	knicks
stop-55.4-1	Synset('peace.n.01')		appear-48.1.1	Synset('conflict.n.01')
appear-48.1.1	Synset('tax.n.01')		calibratable_cos-45.6-1	dow
Synset('collection.n.01')	await		stop-55.4-1	Synset('conference.n.03')
calibratable_cos-45.6-1	Synset('activity.n.01')		calibratable_cos-45.6-1	dow
calibratable_cos-45.6-1	wish-62		calibratable_cos-45.6-1	Synset('monetary_unit.n.01')
Synset('formation.n.01')	Synset('badminton_equipment.n.01')		exist-47.1-1	Synset('condition.n.01')
appear-48.1.1	keep-15.2		appear-48.1.1	Synset('person.n.01')
appear-48.1.1	Synset('thoroughfare.n.01')		Synset('emergence.n.01')	Synset('aggression.n.03')
other_cos-45.4	Synset('activity.n.01')		Synset('precious_metal.n.01')	Synset('degree.n.01')
appear-48.1.1	Synset('educational_institution.n.01')		fill-9.8	Synset('experiment.n.02')
Synset('collection.n.01')	Synset('capitalist.n.02')		amuse-31.1	Synset('funds.n.01')
Synset('military_action.n.01')	stop-55.4-1		judgement-33	Synset('idea.n.01')
Synset('document.n.01')	await		stop-55.4-1	Synset('time_unit.n.01')
appear-48.1.1	Synset('indefinite_quantity.n.01')		appear-48.1.1	Synset('lipid.n.01')
Synset('anticipation.n.01')	Synset('magnitude_relation.n.01')		contribute-13.2-1	Synset('object.n.01')
Synset('indefinite_quantity.n.01')	Synset('share.n.01')		appear-48.1.1	Synset('lipid.n.01')
Synset('tax.n.01')	Synset('agent.n.05')		stop-55.4-1	Synset('framework.n.03')
escape-51.1-2	Synset('discussion.n.02')		other_cos-45.4	Synset('military_action.n.01')
convert-26.6.2	Synset('lipid.n.01')		Synset('emergence.n.01')	Synset('precious_metal.n.01')
calibratable_cos-45.6-1	dow		Synset('framework.n.03')	Synset('object.n.01')
Synset('happening.n.01')	Synset('unit.n.03')		Synset('commerce.n.01')	Synset('area.n.01')
other_cos-45.4	Synset('military_action.n.01')		calibratable_cos-45.6-1	Synset('lipid.n.01')
Synset('change.n.01')	Synset('woman.n.01')		appear-48.1.1	Synset('juvenile.n.01')
appear-48.1.1	Synset('propulsion.n.02')		Synset('adult.n.01')	Synset('ill_health.n.01')
amuse-31.1	Synset('enterprise.n.02')		appear-48.1.1	Synset('collection.n.01')
Synset('merchant.n.01')	Synset('evaluation.n.02')		crane-40.3.2	Synset('monetary_unit.n.01')
near	Synset('extremity.n.04')		appear-48.1.1	Synset('municipality.n.01')
Synset('capitalist.n.02')	Synset('agent.n.05')		calibratable_cos-45.6-1	Synset('value.n.02')
appear-48.1.1	Synset('magnitude_relation.n.01')		calibratable_cos-45.6-1	Synset('value.n.02')
Synset('activity.n.01')	Synset('collection.n.01')		amuse-31.1	Synset('funds.n.01')
Synset('document.n.01')	Synset('merchant.n.01')		stop-55.4-1	Synset('monetary_unit.n.01')
destroy-44	Synset('community.n.01')		disappearance-48.2	Synset('asian.n.01')
Synset('lipid.n.01')	Synset('liquid.n.03')		Synset('activity.n.01')	Synset('unit.n.03')
build-26.1-1	Synset('indefinite_quantity.n.01')		Synset('person.n.01')	Synset('happening.n.01')
amuse-31.1	Synset('income.n.01')		stop-55.4-1	Synset('precious_metal.n.01')
Synset('explosive_device.n.01')	i.r.a.		other_cos-45.4	Synset('order.n.03')
Synset('activity.n.01')	Synset('medical_practitioner.n.01')		clinton	Synset('decision_making.n.01')
amuse-31.1	Synset('geological_phenomenon.n.01')		disappearance-48.2	Synset('large_indefinite_quantity.n.01')
Synset('military_action.n.01')	Synset('unit.n.03')		near	Synset('commerce.n.01')
Synset('emotion.n.01')	ebb		Synset('monetary_unit.n.01')	Synset('longing.n.01')
calibratable_cos-45.6-1	Synset('capital.n.01')		stop-55.4-1	Synset('gathering.n.01')
appear-48.1.1	Synset('stream.n.01')		escape-51.1-1	Synset('residence.n.01')
amuse-31.1	Synset('request.n.01')		appear-48.1.1	Synset('attraction.n.01')
Synset('emotion.n.01')	cheat-10.6-1		Synset('value.n.02')	Synset('lipid.n.01')
calibratable_cos-45.6-1	Synset('value.n.02')		calibratable_cos-45.6-1	dow
appear-48.1.1	Synset('lipid.n.01')		other_cos-45.4	Synset('message.n.02')
appear-48.1.1	continue-55.3		Synset('value.n.02')	Synset('precious_metal.n.01')
Synset('indefinite_quantity.n.01')	Synset('interest.n.01')		calibratable_cos-45.6-1	Synset('lipid.n.01')
appear-48.1.1	Synset('meeting.n.01')		Synset('woody_plant.n.01')	Synset('race.n.01')
amuse-31.1	neglect-75-1-1		appear-48.1.1	Synset('monetary_unit.n.01')
Synset('indefinite_quantity.n.01')	characterize-29.2-1-2		Synset('income.n.01')	Synset('motor_vehicle.n.01')
Synset('motor_vehicle.n.01')	Synset('public_transport.n.01')		murder-42.1-1	Synset('adult.n.01')
calibratable_cos-45.6-1	Synset('curiosity.n.01')		bring-11.3	Synset('capitalist.n.02')
Synset('income.n.01')	Synset('capitalist.n.02')		calibratable_cos-45.6-1	Synset('value.n.02')
neglect-75-1-1	Synset('group_action.n.01')		Synset('organization.n.01')	braid-41.2.2
get-13.5.1	Synset('property.n.02')		Synset('value.n.02')	Synset('gathering.n.01')
Synset('attraction.n.01')	send-11.1-1		stop-55.4-1	Synset('gathering.n.01')
Synset('activity.n.01')	characterize-29.2		Synset('activity.n.01')	Synset('body.n.02')
other_cos-45.4	Synset('rate.n.01')		calibratable_cos-45.6-1	Synset('assets.n.01')
Synset('lipid.n.01')	entity_specific_cos-45.5		put-9.1	Synset('fee.n.01')
appear-48.1.1	Synset('gossip.n.02')		contribute-13.2-1	Synset('skilled_worker.n.01')
near	Synset('extremity.n.04')		Synset('being.n.01')	Synset('creation.n.02')
Synset('activity.n.01')	escape-51.1-2		exist-47.1-1	Synset('gathering.n.01')
calibratable_cos-45.6-1	dow		Synset('framework.n.03')	modes_of_being_with_motion-47.3
exist-47.1-1	Synset('atmospheric_phenomenon.n.01')		appear-48.1.1	keep-15.2
calibratable_cos-45.6-1	Synset('component.n.01')		Synset('framework.n.03')	correspond-36.1
do	Synset('agent.n.03')		characterize-29.2-1	Synset('clue.n.02')
Synset('discussion.n.02')	linger-53.1-1		Synset('person.n.01')	Synset('job_action.n.01')
Synset('capitalist.n.02')	Synset('line.n.20')		Synset('value.n.02')	Synset('funds.n.01')
exist-47.1-1	Synset('capitalist.n.02')		calibratable_cos-45.6-1	Synset('value.n.02')
calibratable_cos-45.6-1	Synset('magnitude_relation.n.01')		Synset('emotion.n.01')	Synset('economic_process.n.01')
await	Synset('capitalist.n.02')		appear-48.1.1	Synset('attraction.n.01')
Synset('gathering.n.01')	Synset('body.n.02')		Synset('activity.n.01')	neglect-75-1-1
Synset('fund.n.01')	albany		Synset('gathering.n.01')	Synset('body.n.02')
appear-48.1.1	bronx		disappearance-48.2	others
Synset('tax.n.01')	Synset('curiosity.n.01')		bring-11.3	Synset('danger.n.03')
Synset('tax.n.01')	Synset('curiosity.n.01')		convert-26.6.2	Synset('capitalist.n.02')
exist-47.1-1	Synset('feeling.n.01')		Synset('monetary_unit.n.01')	Synset('precious_metal.n.01')
bring-11.3	Synset('capitalist.n.02')		Synset('value.n.02')	Synset('funds.n.01')
other_cos-45.4	Synset('military_action.n.01')		Synset('value.n.02')	Synset('lipid.n.01')
amuse-31.1	Synset('tax.n.01')		Synset('monetary_unit.n.01')	Synset('emergence.n.01')
appear-48.1.1	Synset('value.n.02')		appear-48.1.1	Synset('anger.n.01')
appear-48.1.1	Synset('value.n.02')		Synset('precious_metal.n.01')	Synset('degree.n.01')
Synset('happening.n.01')	Synset('payment.n.01')		amuse-31.1	Synset('unit.n.03')
get-13.5.1	Synset('case.n.01')		characterize-29.2-1	Synset('federal_government.n.01')
Synset('tax.n.01')	Synset('agent.n.05')		dow	Synset('indefinite_quantity.n.01')
appear-48.1.1	Synset('lipid.n.01')		amuse-31.1	Synset('tax.n.01')
Synset('discussion.n.02')	Synset('class.n.03')		characterize-29.2-1	Synset('happening.n.01')
contribute-13.2-1	Synset('indo-european.n.02')		get-13.5.1	begin-55.1-1
Synset('discussion.n.02')	Synset('surveying_instrument.n.01')		consume-66	Synset('point.n.06')
exist-47.1-1	Synset('atmospheric_phenomenon.n.01')		appear-48.1.1	Synset('value.n.02')
Synset('military_action.n.01')	Synset('power.n.01')		other_cos-45.4	Synset('formation.n.01')
other_cos-45.4	Synset('share.n.01')		calibratable_cos-45.6-1	Synset('component.n.01')
Synset('attempt.n.01')	Synset('agent.n.03')		Synset('happening.n.01')	new_york
other_cos-45.4	Synset('atmospheric_phenomenon.n.01')		Synset('value.n.02')	Synset('cereal.n.01')
near	Synset('extremity.n.04')		escape-51.1-1	Synset('american.n.01')
appear-48.1.1	Synset('situation.n.03')		bring-11.3	Synset('municipality.n.01')
Synset('person.n.01')	ferret-35.6		Synset('person.n.01')	murder-42.1
Synset('activity.n.01')	Synset('agent.n.03')		appear-48.1.1	Synset('content.n.05')
search-35.2	Synset('broadcasting.n.02')		murder-42.1-1	Synset('force.n.04')
Synset('activity.n.01')	Synset('capitalist.n.02')		amuse-31.1	Synset('funds.n.01')
appear-48.1.1	Synset('building.n.01')		Synset('idea.n.01')	linger-53.1-1
convert-26.6.2	escape-51.1-2		bring-11.3	Synset('airplane.n.01')
Synset('collection.n.01')	await		calibratable_cos-45.6-1	dow
Synset('activity.n.01')	modes_of_being_with_motion-47.3		Synset('force.n.04')	battle-36.4-1
amuse-31.1	Synset('bridge.n.05')		Synset('value.n.02')	Synset('small_indefinite_quantity.n.01')
begin-55.1-1	Synset('legislature.n.01')		Synset('lipid.n.01')	Synset('commercial_enterprise.n.01')
stop-55.4-1	Synset('bridge.n.05')		Synset('attraction.n.01')	send-11.1-1
calibratable_cos-45.6-1	Synset('commerce.n.01')		Synset('framework.n.03')	correspond-36.1
contiguous_location-47.8-1	Synset('head_of_state.n.01')		characterize-29.2-1	Synset('development.n.01')
appear-48.1.1	Synset('administrative_unit.n.01')		other_cos-45.4	Synset('grasping.n.02')
other_cos-45.4	Synset('anticipation.n.01')		dow	Synset('component.n.01')
appear-48.1.1	Synset('share.n.01')		appear-48.1.1	Synset('lipid.n.01')
escape-51.1-1	Synset('region.n.03')		Synset('activity.n.01')	Synset('capital.n.01')
disappearance-48.2	Synset('written_agreement.n.01')		calibratable_cos-45.6-1	Synset('lipid.n.01')
braid-41.2.2	Synset('rate.n.01')		Synset('value.n.02')	Synset('lipid.n.01')
convert-26.6.2	Synset('ending.n.04')		peer-30.3	Synset('computer_network.n.01')
calibratable_cos-45.6-1	Synset('indefinite_quantity.n.01')		Synset('value.n.02')	braid-41.2.2
Synset('activity.n.01')	do		Synset('capital.n.01')	Synset('swimming.n.01')
Synset('force.n.04')	ferret-35.6		admire-31.2	Synset('woman.n.01')
amuse-31.1	Synset('value.n.02')		Synset('monetary_unit.n.01')	Synset('time_unit.n.01')
near	Synset('race.n.01')		appear-48.1.1	Synset('broadcasting.n.02')
other_cos-45.4	Synset('unfortunate.n.01')		Synset('activity.n.01')	Synset('person.n.01')
murder-42.1-1	Synset('explosive_device.n.01')		convert-26.6.2	Synset('being.n.01')
near	Synset('choice.n.02')		Synset('person.n.01')	fill-9.8
conjecture-29.5-1	Synset('gathering.n.01')		Synset('framework.n.03')	Synset('sphere.n.05')
Synset('emotion.n.01')	Synset('curiosity.n.01')		Synset('value.n.02')	Synset('capital.n.01')
Synset('lipid.n.01')	Synset('slope.n.01')		Synset('gregorian_calendar_month.n.01')	Synset('insufficiency.n.03')
calibratable_cos-45.6-1	Synset('reimbursement.n.01')		calibratable_cos-45.6-1	Synset('document.n.01')
Synset('discussion.n.02')	Synset('legislature.n.01')		appear-48.1.1	begin-55.1-1
Synset('municipality.n.01')	Synset('administrative_unit.n.01')		other_cos-45.4	Synset('grasping.n.02')
bring-11.3	Synset('capitalist.n.02')		Synset('value.n.02')	Synset('precious_metal.n.01')
stop-55.4-1	Synset('meeting.n.01')		characterize-29.2-1	Synset('immunodeficiency.n.01')
appear-48.1.1	Synset('building.n.01')		Synset('idea.n.01')	Synset('woody_plant.n.01')
Synset('value.n.02')	send-11.1-1		Synset('activity.n.01')	Synset('gathering.n.01')
await	Synset('merchant.n.01')		Synset('monetary_unit.n.01')	Synset('emergence.n.01')
Synset('military_action.n.01')	near		other_cos-45.4	Synset('military_action.n.01')
begin-55.1-1	Synset('military_action.n.01')		Synset('tract.n.01')	Synset('object.n.01')
Synset('activity.n.01')	get-13.5.1		murder-42.1-1	Synset('explosive_device.n.01')
Synset('activity.n.01')	Synset('recovery.n.03')		other_cos-45.4	Synset('administrative_unit.n.01')
contiguous_location-47.8	Synset('tax.n.01')		bring-11.3	Synset('acrobatic_stunt.n.01')
Synset('time_period.n.01')	stop-55.4-1		amuse-31.1	Synset('american.n.01')
Synset('precipitation.n.03')	Synset('region.n.03')		Synset('value.n.02')	Synset('atom.n.02')
appear-48.1.1	iraq		murder-42.1-1	Synset('explosive_device.n.01')
contribute-13.2-1	dow		calibratable_cos-45.6-1	Synset('time_unit.n.01')
other_cos-45.4	Synset('motor_vehicle.n.01')		disappearance-48.2	Synset('arab.n.01')
Synset('change.n.01')	Synset('woman.n.01')		Synset('document.n.01')	Synset('mistreatment.n.01')
cheat-10.6-1	Synset('economic_process.n.01')		calibratable_cos-45.6-1	Synset('framework.n.03')
bring-11.3	Synset('attack.n.01')		Synset('property.n.02')	accompany-51.7
Synset('corporate_executive.n.01')	masquerade-29.6-1		stop-55.4-1	Synset('transaction.n.01')
Synset('tax.n.01')	Synset('agent.n.05')		calibratable_cos-45.6-1	Synset('value.n.02')
other_cos-45.4	Synset('commerce.n.01')		calibratable_cos-45.6-1	Synset('framework.n.03')
other_cos-45.4	Synset('anticipation.n.01')		Synset('situation.n.03')	Synset('body_of_water.n.01')
bring-11.3	Synset('building.n.01')		judgement-33	Synset('woody_plant.n.01')
Synset('happening.n.01')	Synset('homicide.n.01')		Synset('military_action.n.01')	put_spatial-9.2-1
Synset('person.n.01')	Synset('agent.n.03')		appear-48.1.1	Synset('time_period.n.01')
calibratable_cos-45.6-1	Synset('tax.n.01')		appear-48.1.1	Synset('content.n.05')
calibratable_cos-45.6-1	Synset('framework.n.03')		dow	Synset('evidence.n.02')
appear-48.1.1	Synset('work.n.01')		appear-48.1.1	Synset('political_unit.n.01')
calibratable_cos-45.6-1	Synset('gregorian_calendar_month.n.01')		appear-48.1.1	Synset('insufficiency.n.03')
do	Synset('propulsion.n.02')		Synset('corridor.n.01')	seton
Synset('monetary_unit.n.01')	continue-55.3		Synset('attraction.n.01')	Synset('sphere.n.05')
exist-47.1-1	Synset('indefinite_quantity.n.01')		Synset('value.n.02')	Synset('physical_phenomenon.n.01')
exist-47.1-1	Synset('commerce.n.01')		Synset('monetary_unit.n.01')	continue-55.3
amuse-31.1	Synset('bridge.n.05')		appear-48.1.1	Synset('attraction.n.01')
appear-48.1.1	Synset('confusion.n.01')		u.n.	Synset('resource.n.02')
calibratable_cos-45.6-1	Synset('homicide.n.01')		Synset('military_action.n.01')	put_spatial-9.2-1
Synset('creation.n.02')	Synset('bridge.n.05')		appear-48.1.1	Synset('anticipation.n.01')
Synset('collection.n.01')	Synset('merchant.n.01')		Synset('attraction.n.01')	Synset('sphere.n.05')
Synset('point.n.06')	Synset('slav.n.01')		exist-47.1-1	Synset('situation.n.03')
Synset('work.n.01')	cope-83-1-1		calibratable_cos-45.6-1	Synset('financial_gain.n.01')
Synset('choice.n.02')	Synset('extremity.n.04')		Synset('public_transport.n.01')	Synset('termination.n.05')
Synset('happening.n.01')	clinton		Synset('activity.n.01')	Synset('agent.n.03')
calibratable_cos-45.6-1	Synset('curiosity.n.01')		calibratable_cos-45.6-1	Synset('monetary_unit.n.01')
other_cos-45.4	Synset('lipid.n.01')		calibratable_cos-45.6-1	Synset('framework.n.03')
Synset('force.n.04')	Synset('motor_vehicle.n.01')		amuse-31.1	Synset('serviceman.n.01')
other_cos-45.4	Synset('magnitude_relation.n.01')		calibratable_cos-45.6-1	Synset('component.n.01')
Synset('activity.n.01')	Synset('parent.n.01')		Synset('happening.n.01')	Synset('building.n.01')
Synset('value.n.02')	Synset('precious_metal.n.01')		stop-55.4-1	Synset('monetary_unit.n.01')
Synset('large_indefinite_quantity.n.01')	ewing		stop-55.4-1	knicks
escape-51.1-2	Synset('position.n.01')		Synset('danger.n.03')	masquerade-29.6-2
convert-26.6.2	Synset('journey.n.01')		appear-48.1.1	Synset('administrator.n.01')
Synset('lipid.n.01')	Synset('slope.n.01')		Synset('commerce.n.01')	Synset('gregorian_calendar_month.n.01')
await	Synset('merchant.n.01')		Synset('monetary_unit.n.01')	Synset('change_of_location.n.01')
near	Synset('point.n.06')		Synset('force.n.04')	mix-22.1-2
calibratable_cos-45.6-1	Synset('precious_metal.n.01')		crane-40.3.2	Synset('monetary_unit.n.01')
ferret-35.6	Synset('shelter.n.01')		Synset('gathering.n.01')	Synset('funds.n.01')
Synset('gathering.n.01')	modes_of_being_with_motion-47.3		other_cos-45.4	exist-47.1-1
Synset('explosive_device.n.01')	i.r.a.		other_cos-45.4	Synset('activity.n.01')
Synset('discussion.n.02')	continue-55.3		Synset('educational_institution.n.01')	Synset('public_transport.n.01')
calibratable_cos-45.6-1	Synset('monetary_unit.n.01')		Synset('framework.n.03')	Synset('swimming.n.01')
escape-51.1-2	Synset('aggression.n.03')		amuse-31.1	Synset('situation.n.03')
other_cos-45.4	Synset('income.n.01')		appear-48.1.1	Synset('lipid.n.01')
appear-48.1.1	Synset('commodity.n.01')		appear-48.1.1	Synset('extent.n.02')
other_cos-45.4	Synset('share.n.01')		characterize-29.2-1	Synset('person.n.01')
near	Synset('choice.n.02')		other_cos-45.4	Synset('discussion.n.02')
Synset('monetary_unit.n.01')	Synset('property.n.02')		Synset('value.n.02')	Synset('gathering.n.01')
ferret-35.6	Synset('collection.n.01')		declare-29.4-1-1-2	Synset('examination.n.01')
appear-48.1.1	Synset('educational_institution.n.01')		amuse-31.1	Synset('genitor.n.01')
dow	Synset('evidence.n.02')		Synset('framework.n.03')	contiguous_location-47.8
Synset('sphere.n.05')	Synset('request.n.01')		Synset('value.n.02')	Synset('bean.n.02')
Synset('activity.n.01')	animal_sounds-38		Synset('lipid.n.01')	Synset('tube.n.01')
Synset('emotion.n.01')	Synset('economic_process.n.01')		appear-48.1.1	Synset('tax.n.01')
convert-26.6.2	Synset('concentration.n.05')		appear-48.1.1	Synset('lipid.n.01')
peer-30.3	Synset('capitalist.n.02')		stop-55.4-1	Synset('common_fraction.n.01')
other_cos-45.4	Synset('system.n.02')		calibratable_cos-45.6-1	begin-55.1-1
calibratable_cos-45.6-1	Synset('promotion.n.01')		wish-62	Synset('share.n.01')
escape-51.1-2	Synset('contestant.n.01')		escape-51.1-2	Synset('legislature.n.01')
Synset('assets.n.01')	Synset('school.n.01')		other_cos-45.4	Synset('gathering.n.01')
other_cos-45.4	Synset('explosive_device.n.01')		Synset('activity.n.01')	continue-55.3
near	Synset('choice.n.02')		Synset('woody_plant.n.01')	Synset('levy.n.01')
appear-48.1.1	Synset('economic_process.n.01')		Synset('monetary_unit.n.01')	Synset('precious_metal.n.01')
Synset('tax.n.01')	Synset('agent.n.05')		stop-55.4-1	Synset('funds.n.01')
Synset('income.n.01')	Synset('document.n.01')		calibratable_cos-45.6-1	Synset('assets.n.01')
appear-48.1.1	Synset('military_unit.n.01')		disappearance-48.2	Synset('enlisted_person.n.01')
Synset('happening.n.01')	Synset('organization.n.01')		amuse-31.1	Synset('unit.n.03')
other_cos-45.4	Synset('opening.n.01')		judgement-33	Synset('federal_government.n.01')
Synset('happening.n.01')	Synset('bodily_process.n.01')		Synset('force.n.04')	Synset('adult.n.01')
appear-48.1.1	Synset('military_action.n.01')		appear-48.1.1	Synset('capital.n.01')
Synset('discussion.n.02')	Synset('legislature.n.01')		appear-48.1.1	Synset('physical_phenomenon.n.01')
begin-55.1-1	Synset('propulsion.n.02')		Synset('force.n.04')	escape-51.1-1
appear-48.1.1	Synset('difficulty.n.03')		conjecture-29.5-1	Synset('advantage.n.01')
Synset('agent.n.05')	Synset('magnitude_relation.n.01')		calibratable_cos-45.6-1	Synset('framework.n.03')
other_cos-45.4	Synset('choice.n.02')		appear-48.1.1	Synset('objection.n.02')
Synset('cyclone.n.02')	Synset('shore.n.01')		ferret-35.6	Synset('condition.n.01')
Synset('document.n.01')	Synset('economic_process.n.01')		calibratable_cos-45.6-1	dow
appear-48.1.1	Synset('curiosity.n.01')		calibratable_cos-45.6-1	Synset('capital.n.01')
exist-47.1-1	Synset('atmospheric_phenomenon.n.01')		Synset('value.n.02')	keep-15.2
Synset('indefinite_quantity.n.01')	Synset('merchant.n.01')		calibratable_cos-45.6-1	Synset('tax.n.01')
appear-48.1.1	Synset('atmospheric_phenomenon.n.01')		escape-51.1-1	Synset('inhabitant.n.01')
Synset('transgression.n.01')	Synset('partiality.n.02')		Synset('adult.n.01')	Synset('capture.n.01')
Synset('monetary_unit.n.01')	Synset('season.n.02')		calibratable_cos-45.6-1	Synset('framework.n.03')
appear-48.1.1	Synset('educational_institution.n.01')		exist-47.1-1	Synset('misery.n.01')
Synset('happening.n.01')	Synset('residence.n.01')		disappearance-48.2	Synset('juvenile.n.01')
Synset('leader.n.01')	complete-55.2		calibratable_cos-45.6-1	Synset('capital.n.01')
other_cos-45.4	Synset('share.n.01')		contribute-13.2-1	Synset('object.n.01')
other_cos-45.4	Synset('happening.n.01')		amuse-31.1	Synset('american.n.01')
Synset('indefinite_quantity.n.01')	cheat-10.6-1		Synset('value.n.02')	Synset('temperature_change.n.01')
await	Synset('capitalist.n.02')		dow	Synset('time_unit.n.01')
Synset('anticipation.n.01')	Synset('magnitude_relation.n.01')		calibratable_cos-45.6-1	Synset('framework.n.03')
calibratable_cos-45.6-1	Synset('indefinite_quantity.n.01')		amuse-31.1	Synset('capitalist.n.02')
appear-48.1.1	Synset('interest.n.01')		Synset('building.n.01')	masquerade-29.6-1
Synset('auditory_communication.n.01')	transcribe-25.4		Synset('being.n.01')	transcribe-25.4
Synset('share.n.01')	Synset('magnitude_relation.n.01')		calibratable_cos-45.6-1	Synset('component.n.01')
Synset('collection.n.01')	await		Synset('monetary_unit.n.01')	Synset('change_of_location.n.01')
amuse-31.1	Synset('framework.n.03')		send-11.1	Synset('decrease.n.02')
